subdistrict_code,subdistrict_name,district_code,latitude,longitude,timezone
2002,Pangradin,19,-6.52498634,106.47887391,Asia/Jakarta
2003,Kalongsawah,19,-6.50327196,106.49456307,Asia/Jakarta
2004,Sipak,19,-6.4868218,106.48335865,Asia/Jakarta
2005,Jasinga,19,-6.48368362,106.45032114,Asia/Jakarta
2006,Koleang,19,-6.46531383,106.43842381,Asia/Jakarta
2007,Cikopomayak,19,-6.44921705,106.46511608,Asia/Jakarta
2008,Setu,19,-6.46738256,106.46876131,Asia/Jakarta
2003,Leuwinutug,03,-6.51375624,106.86172321,Asia/Jakarta
2004,Tajur,03,-6.53977106,106.92057295,Asia/Jakarta
2005,Sanja,03,-6.50390557,106.8675273,Asia/Jakarta
1006,Puspanegara,03,-6.47874819,106.88084217,Asia/Jakarta
1007,Karang Asem Barat,03,-6.49073152,106.86994002,Asia/Jakarta
2008,Karang Asem Timur,03,-6.49659002,106.87978368,Asia/Jakarta
2009,Tarikolot,03,-6.4986074,106.89022353,Asia/Jakarta
2010,Gunungsari,03,-6.49341919,106.90274055,Asia/Jakarta
2011,Tangkil,03,-6.53464179,106.87137693,Asia/Jakarta
2012,Sukahati,03,-6.5161656,106.88288313,Asia/Jakarta
2013,Hambalang,03,-6.54837255,106.89759917,Asia/Jakarta
2014,Pasir Mukti,03,-6.50885702,106.89843746,Asia/Jakarta
2001,Gununggeulis,04,-6.63256955,106.88458726,Asia/Jakarta
2002,Cilebut Timur,04,-6.52739116,106.80165089,Asia/Jakarta
2003,Cilebut Barat,04,-6.52988115,106.79500589,Asia/Jakarta
2001,Parung,10,-6.42660864,106.73155033,Asia/Jakarta
2002,Iwul,10,-6.45681215,106.7151919,Asia/Jakarta
2003,Bojongsempu,10,-6.44505958,106.70507468,Asia/Jakarta
2004,Waru,10,-6.42029417,106.71991751,Asia/Jakarta
2005,Cogreg,10,-6.41997192,106.69082291,Asia/Jakarta
2006,Pamegarsari,10,-6.4404795,106.72780594,Asia/Jakarta
2007,Warujaya,10,-6.42633786,106.7095478,Asia/Jakarta
2008,Bojongindah,10,-6.43269284,106.70179142,Asia/Jakarta
2009,Jabonmekar,10,-6.45370779,106.7263658,Asia/Jakarta
2001,Cidokom,11,-6.40523672,106.70691421,Asia/Jakarta
2002,Padurenan,11,-6.39101881,106.70482577,Asia/Jakarta
2001,Purwabakti,17,-6.72742901,106.63490313,Asia/Jakarta
2002,Cibunian,17,-6.69645777,106.62614496,Asia/Jakarta
2003,Cibitungwetan,17,-6.64921814,106.6386162,Asia/Jakarta
2004,Gunungmenyan,17,-6.62829822,106.66736541,Asia/Jakarta
2005,Gunungbunder II,17,-6.68838257,106.70119029,Asia/Jakarta
2006,Pasarean,17,-6.6383834,106.66003068,Asia/Jakarta
2007,Cimayang,17,-6.61010086,106.66625652,Asia/Jakarta
2008,Pamijahan,17,-6.64420432,106.65034276,Asia/Jakarta
2009,Cibening,17,-6.63204319,106.67689663,Asia/Jakarta
2010,Gunungbunder I,17,-6.64836589,106.68165137,Asia/Jakarta
2011,Cibitung Kulon,17,-6.66437455,106.64058061,Asia/Jakarta
2012,Gunung Picung,17,-6.67826048,106.68165838,Asia/Jakarta
2013,Ciasihan,17,-6.71287543,106.67616707,Asia/Jakarta
2005,Cikadut,06,-6.88161718,107.67960513,Asia/Jakarta
2006,Ciburial,06,-6.84957635,107.64959345,Asia/Jakarta
2007,Sindanglaya,06,-6.88435772,107.68950596,Asia/Jakarta
2008,Mekarsaluyu,06,-6.86142632,107.65027549,Asia/Jakarta
2009,Mekarmanik,06,-6.85346788,107.69465311,Asia/Jakarta
1001,Padasuka,06,-6.88717237,107.65557827,Asia/Jakarta
1002,Cibeunying,06,-6.8805554,107.64192346,Asia/Jakarta
2003,Cimenyan,06,-6.85869064,107.66931596,Asia/Jakarta
2004,Mandalamekar,06,-6.87381197,107.6735214,Asia/Jakarta
2001,Jatiendah,07,-6.90115419,107.69828687,Asia/Jakarta
2002,Cilengkrang,07,-6.89070986,107.73384401,Asia/Jakarta
2003,Cipanjalu,07,-6.84980684,107.72836023,Asia/Jakarta
2004,Melatiwangi,07,-6.88199013,107.70636816,Asia/Jakarta
2005,Ciporeat,07,-6.87838913,107.72757342,Asia/Jakarta
2006,Girimekar,07,-6.87125524,107.70453036,Asia/Jakarta
2001,Lengkong,08,-6.9802711,107.65155225,Asia/Jakarta
2002,Bojongsoang,08,-6.98809026,107.64293454,Asia/Jakarta
2003,Buahbatu,08,-6.98086271,107.67041278,Asia/Jakarta
2004,Cipagalo,08,-6.97039591,107.65279896,Asia/Jakarta
2005,Bojongsari,08,-6.99991003,107.65162115,Asia/Jakarta
2006,Tegalluar,08,-6.97965259,107.68993033,Asia/Jakarta
2001,Margahayu Tengah,09,-6.96034567,107.57176217,Asia/Jakarta
2002,Margahayu Selatan,09,-6.97082025,107.56640762,Asia/Jakarta
2003,Sukamenak,09,-6.97138341,107.58421513,Asia/Jakarta
1004,Sulaiman,09,-6.98521306,107.5735891,Asia/Jakarta
